subject,block,duration_ms
58,prequiz,37120
58,0,713930
58,1,625455
58,2,679070
58,3,488357
58,4,275715
58,5,400812
58,6,353826
58,7,68592
58,8,163810
58,9,256256
58,postquiz,56843
59,instructions,183927
59,prequiz,25461
59,0,448688
59,1,193137
59,2,298621
59,3,133876
59,4,193086
59,5,293132
59,6,555522
59,7,276457
59,8,65693
59,9,144043
59,postquiz,44906
60,instructions,163499
60,prequiz,105529
60,0,209309
60,1,298659
60,2,1027260
60,3,143923
60,4,224432
60,5,117564
60,6,108951
60,7,100703
60,8,92370
60,9,212705
60,postquiz,79721
61,instructions,295520
61,prequiz,22857
61,0,481281
61,1,297961
61,2,991622
61,3,351640
61,4,743641
61,5,690704
61,6,523265
61,7,211112
61,8,321634
61,9,473732
61,postquiz,136290
62,instructions,217451
62,prequiz,21355
62,0,203481
62,1,138696
62,2,367024
62,3,135087
62,4,1267237
62,5,89009
62,6,237739
62,7,181642
62,8,398739
62,9,208677
62,postquiz,42206
63,instructions,134782
63,prequiz,140790
63,0,121124
63,1,127495
63,2,126745
63,3,114811
63,4,129734
63,5,104791
63,6,152171
63,7,163391
63,8,163282
63,9,104319
63,postquiz,49500
64,instructions,254047
64,prequiz,150046
64,0,867657
64,1,348714
64,2,500516
64,3,403131
64,4,573563
64,5,551440
64,6,233003
64,7,128792
64,8,197240
64,9,185827
64,postquiz,78373
65,instructions,489866
65,prequiz,48586
65,0,1635822
65,1,517258
65,2,1633979
65,3,980419
65,4,1219090
65,5,1287724
65,6,744983
65,7,649361
65,8,242535
65,9,485424
65,postquiz,51599
66,instructions,292225
66,prequiz,23611
66,0,608761
66,1,404340
66,2,657870
66,3,366833
66,4,322347
66,5,292154
66,6,637058
66,7,225241
66,8,181329
66,9,369023
66,postquiz,150907
67,instructions,67786
67,prequiz,197949
67,0,318386
67,1,57819
67,2,232572
67,3,520359
67,4,443935
67,5,427713
67,6,347780
67,7,230934
67,8,238890
67,9,305158
67,postquiz,45354
68,instructions,1051324
68,prequiz,8784
68,0,700320
68,1,343273
68,2,596315
68,3,226071
68,4,343174
68,5,110194
68,6,280198
68,7,234474
68,8,221575
68,9,136712
68,postquiz,23907
69,instructions,306624
69,prequiz,195688
69,0,327208
69,1,274234
69,2,104673
69,3,105677
69,4,104843
69,5,105532
69,6,97264
69,7,98211
69,8,110840
69,9,140936
69,postquiz,73466
70,instructions,230975
70,prequiz,42049
70,0,383519
70,1,554708
70,2,969981
70,3,419785
70,4,731460
70,5,680753
70,6,80648
70,7,339767
70,8,280225
70,9,336813
70,postquiz,52265
71,instructions,505909
71,prequiz,644598
71,0,472405
71,1,3474088
71,2,424551
71,3,503380
71,4,419619
71,5,510815
71,6,221956
71,7,230044
71,8,117998
71,9,89144
71,postquiz,85513
72,instructions,103218
72,prequiz,348537
72,0,205390
72,1,287274
72,2,200313
72,3,138390
72,4,205179
72,5,150086
72,6,186573
72,7,411323
72,8,308738
72,9,111993
72,postquiz,126129
73,instructions,333643
73,prequiz,104265
73,0,605883
73,1,508317
73,2,286203
73,3,391584
73,4,356911
73,5,351388
73,6,250959
73,7,191036
73,8,352444
73,9,263814
73,postquiz,76270
74,instructions,14394
74,prequiz,13488
74,0,75135
74,1,84226
74,2,78141
74,3,77179
74,4,168873
74,5,78160
74,6,81898
74,7,74605
74,8,164220
74,9,67440
74,postquiz,50035
75,instructions,404674
75,prequiz,7764
75,0,2435507
75,1,96166
75,2,85229
75,3,286243
75,4,214078
75,5,204236
75,6,483195
75,7,1057000
75,8,161400
75,9,381582
75,postquiz,48480
76,instructions,230187
76,prequiz,236880
76,0,2657743
76,1,182198
76,2,133446
76,3,118745
76,4,147351
76,5,176628
76,6,130030
76,7,165332
76,8,196429
76,9,153535
76,postquiz,27961
77,instructions,223379
77,prequiz,255527
77,0,186478
77,1,793729
77,2,359701
77,3,490484
77,4,1399106
77,5,1268518
77,6,295770
77,7,247000
77,8,105208
77,9,328354
77,postquiz,82698
78,instructions,105670
78,prequiz,29474
78,0,2439390
78,1,1431726
78,2,318221
78,3,393964
78,4,270489
78,5,323837
78,6,230824
78,7,172698
78,8,664155
78,9,86495
78,postquiz,57876
79,instructions,152666
79,prequiz,24690
79,0,364711
79,1,82821
79,2,253099
79,3,371269
79,4,438358
79,5,678014
79,6,719323
79,7,234841
79,8,116034
79,9,174865
79,postquiz,77638
80,instructions,193604
80,prequiz,83085
80,0,185814
80,1,382423
80,2,312900
80,3,114106
80,4,257020
80,5,100070
80,6,1304222
80,7,490505
80,8,137269
80,9,188209
80,postquiz,32209
81,instructions,194992
81,prequiz,21080
81,0,63932
81,1,38930
81,2,96071
81,3,278647
81,4,284816
81,5,157885
81,6,254907
81,7,68509
81,8,243704
81,9,80771
81,postquiz,41743
82,instructions,704895
82,prequiz,414573
82,0,722540
82,1,233269
82,2,125460
82,3,149847
82,4,116997
82,5,166905
82,6,101825
82,7,102734
82,8,111018
82,9,102668
82,postquiz,81530
83,instructions,224699
83,prequiz,113135
83,0,375573
83,1,251383
83,2,276866
83,3,212115
83,4,167316
83,5,236680
83,6,136729
83,7,139417
83,8,264680
83,9,114329
83,postquiz,71617
84,instructions,902438
84,prequiz,597596
84,0,245212
84,1,257103
84,2,360359
84,3,270409
84,4,85306
84,5,142729
84,6,139160
84,7,132588
84,8,252249
84,9,196483
84,postquiz,122687
85,instructions,161353
85,prequiz,28985
85,0,277741
85,1,278298
85,2,47273
85,3,405930
85,4,107728
85,5,81926
85,6,146854
85,7,161029
85,8,75561
85,9,384455
85,postquiz,26826
86,instructions,271449
86,prequiz,31658
86,0,718671
86,1,344145
86,2,862896
86,3,563173
86,4,833832
86,5,746654
86,6,204896
86,7,311677
86,8,147411
86,9,515750
86,postquiz,137450
87,instructions,26464
87,prequiz,7739
87,0,138577
87,1,201417
87,2,137409
87,3,96194
87,4,114611
87,5,132168
87,6,158475
87,7,119998
87,8,254739
87,9,73887
87,postquiz,43154
88,instructions,3309754
88,prequiz,48148
88,0,388723
88,1,449022
88,2,71270
88,3,376036
88,4,252789
88,5,158043
88,6,206350
88,7,296002
88,8,204142
88,9,168854
88,postquiz,88414
89,instructions,7494
89,prequiz,6246
89,0,284012
89,1,763312
89,2,583410
89,3,146590
89,4,633307
89,5,681959
89,6,359232
89,7,1030612
89,8,553026
89,9,140408
89,postquiz,25151
90,instructions,208207
90,prequiz,47083
90,0,662461
90,1,350117
90,2,460775
90,3,459621
90,4,288762
90,5,323069
90,6,274063
90,7,332496
90,8,518737
90,9,192609
90,postquiz,69509
91,instructions,338801
91,prequiz,25496
91,0,1096995
91,1,330442
91,2,180612
91,3,198112
91,4,271477
91,5,304959
91,6,238933
91,7,1626276
91,8,197908
91,9,203305
91,postquiz,112487
92,instructions,204024
92,prequiz,177966
92,0,490538
92,1,241984
92,2,958980
92,3,181640
92,4,103471
92,5,300983
92,6,142344
92,7,191921
92,8,153455
92,9,142886
92,postquiz,26721
93,instructions,2407062
93,prequiz,108322
93,0,380763
93,1,305312
93,2,198958
93,3,124190
93,4,224492
93,5,257929
93,6,116314
93,7,188354
93,8,316538
93,9,131768
93,postquiz,59311
94,instructions,253626
94,prequiz,118523
94,0,237052
94,1,88009
94,2,81581
94,3,76912
94,4,68717
94,5,93268
94,6,79752
94,7,67993
94,8,86072
94,9,79721
94,postquiz,41614
95,instructions,226498
95,prequiz,18981
95,0,664320
95,1,355580
95,2,149210
95,3,799134
95,4,132224
95,5,378217
95,6,152157
95,7,328316
95,8,90225
95,9,146507
95,postquiz,113372
96,instructions,24104
96,prequiz,13279
96,0,346341
96,1,2082371
96,2,413081
96,3,264029
96,4,165850
96,5,259699
96,6,155130
96,7,337229
96,8,300802
96,9,261144
96,postquiz,108458
97,instructions,132226
97,prequiz,59742
97,0,272513
97,1,203494
97,2,241997
97,3,225438
97,4,123631
97,5,311938
97,6,379748
97,7,166862
97,8,85455
97,9,505263
97,postquiz,28267
98,instructions,836310
98,prequiz,109569
98,0,537746
98,1,1979721
98,2,261041
98,3,1700817
98,4,586361
98,5,158831
98,6,444460
98,7,203622
98,8,309289
98,9,256278
98,postquiz,223874
99,instructions,2625
99,prequiz,6049
99,0,212072
99,1,81470
99,2,90221
99,3,86062
99,4,76222
99,5,94216
99,6,103832
99,7,232745
99,8,100637
99,9,58996
99,postquiz,22219
100,instructions,2097740
100,prequiz,356567
100,0,865709
100,1,750043
100,2,385111
100,3,160143
100,4,137752
100,5,196430
100,6,146536
100,7,124993
100,8,80872
100,9,79191
100,postquiz,35725
101,instructions,2813
101,prequiz,12225
101,0,150188
101,1,59200
101,2,106107
101,3,194940
101,4,148807
101,5,124918
101,6,105388
101,7,101851
101,8,79374
101,9,86761
101,postquiz,44122
102,instructions,75543
102,prequiz,22533
102,0,1343019
102,1,762359
102,2,749731
102,3,716636
102,4,369972
102,5,125617
102,6,246636
102,7,224003
102,8,227741
102,9,176960
102,postquiz,130498
103,instructions,109481
103,prequiz,22544
103,0,283124
103,1,117497
103,2,265018
103,3,204130
103,4,265977
103,5,125005
103,6,50502
103,7,163271
103,8,104912
103,9,95794
103,postquiz,33467
104,instructions,101542
104,prequiz,162776
104,0,111242
104,1,209398
104,2,110730
104,3,213666
104,4,74651
104,5,70163
104,6,109919
104,7,183107
104,8,71598
104,9,105105
104,postquiz,36778
105,instructions,140475
105,prequiz,22003
105,0,513879
105,1,322273
105,2,209264
105,3,459655
105,4,119576
105,5,148705
105,6,382201
105,7,366350
105,8,305576
105,9,75162
105,postquiz,49376
106,instructions,177256
106,prequiz,36983
106,0,236883
106,1,282847
106,2,196311
106,3,237938
106,4,359103
106,5,186891
106,6,94408
106,7,402092
106,8,222589
106,9,103860
106,postquiz,80765
107,instructions,67609
107,prequiz,36627
107,0,143722
107,1,119654
107,2,269240
107,3,131941
107,4,188569
107,5,216749
107,6,206470
107,7,162363
107,8,312133
107,9,128820
107,postquiz,46844
108,instructions,126669
108,prequiz,41277
108,0,350504
108,1,56974
108,2,53378
108,3,167976
108,4,285877
108,5,63295
108,6,214695
108,7,365546
108,8,94709
108,9,171392
108,postquiz,32425
109,instructions,441841
109,prequiz,69935
109,0,427791
109,1,810895
109,2,453201
109,3,187830
109,4,397956
109,5,180716
109,6,134575
109,7,215429
109,8,320950
109,9,270652
109,postquiz,29591
110,instructions,215226
110,prequiz,62267
110,0,598643
110,1,260176
110,2,280976
110,3,453919
110,4,598209
110,5,428093
110,6,359401
110,7,332903
110,8,140407
110,9,316826
110,postquiz,30048
111,instructions,1560731
111,prequiz,240241
111,0,206188
111,1,207783
111,2,323000
111,3,270000
111,4,279268
111,5,210727
111,6,63927
111,7,147334
111,8,255286
111,9,308046
111,postquiz,97403
112,instructions,7770
112,prequiz,8332
112,0,52581
112,1,63673
112,2,53308
112,3,57714
112,4,50301
112,5,49711
112,6,51783
112,7,49410
112,8,55290
112,9,56393
112,postquiz,42710
